PLACEMENT,SLURRY.LABEL,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,sym_FSC.Events,sym_FSC.Mean.Chla.A,sym_FSC.Events.μL.V.,Pin_Number,Cage_Uncaged,Genotype,Species,Surface_Area,Approximate.Dry.Weight.of.Whole.Sample,FSC.Events.per.ul,FSC.Events.per.slurry,FSC.Events_per_cm_2,FSC.Events_per_g_dry_weight
PRU V08 C,PRU 34,45,28,264,7559780.0,1.76,8,C,PR02,Porites_rus,26.8368,0.1458,22.357723577235774,1006097.5609756098,37489.475681735894,6900531.968282646
PRU V09 A,PRU 45,45,28,16,7353663.5,0.11,9,A,PR04,Porites_rus,5.11654,0.0405,1.3550135501355014,60975.60975609756,11917.352303724307,1505570.6112616681
PRU V09 B,PRU 44,45,28,102,8061329.0,0.68,9,B,PR04,Porites_rus,9.06822,0.0954,8.638211382113822,388719.51219512196,42866.13163279254,4074628.010431048
PRU V09 C,PRU 43,45,28,239,8184728.0,1.59,9,C,PR04,Porites_rus,15.97434,0.122375,20.240514905149055,910823.1707317075,57017.890612802,7442885.971249908
PRU V10 A,PRU 42,45,28,291,6234592.0,1.94,10,A,PR07,Porites_rus,32.82956,0.207,24.644308943089435,1108993.9024390245,33780.34620138146,5357458.465889008
PRU V10 B,PRU 41,45,28,22,6313898.0,0.15,10,B,PR07,Porites_rus,14.80468,0.0972,1.8631436314363143,83841.46341463414,5663.172957107762,862566.4960353307
PRU V10 C,PRU 40,45,28,323,6339097.5,2.15,10,C,PR07,Porites_rus,34.49318,0.1755,27.354336043360437,1230945.1219512196,35686.623325284,7013932.318810369
PRU V11 A,PRU 30,45,28,79,5562508.0,0.53,11,A,PR07,Porites_rus,31.90222,0.23715,6.690379403794038,301067.0731707317,9437.182527445793,1269521.7084998174
PRU V11 B,PRU 29,45,28,56,6159319.0,0.37,11,B,PR07,Porites_rus,14.27344,0.10575,4.742547425474256,213414.6341463415,14951.871037839615,2018105.2874358534
PRU V11 C,PRU 28,45,28,85,6003366.5,0.57,11,C,PR07,Porites_rus,20.96986,0.18315,7.198509485094851,323932.9268292683,15447.54837797049,1768675.5491633539
PRU V12 A,PRU 33,45,28,94,6065340.0,0.63,12,A,PR06,Porites_rus,18.309,0.1242,7.960704607046071,358231.7073170732,19565.880567866796,2884313.263422489
PRU V12 B,PRU 32,45,28,76,6508885.5,0.51,12,B,PR06,Porites_rus,13.2529,0.13905,6.436314363143632,289634.14634146343,21854.39762930856,2082949.6320853177
PRU V12 C,PRU 31,45,28,36,5207623.0,0.24,12,C,PR06,Porites_rus,8.44844,0.0981,3.048780487804878,137195.1219512195,16239.107095655472,1398523.159543522
PRU V13 A,PRU 58,45,28,51,6262338.0,0.34,13,A,PR04,Porites_rus,15.17748,0.1062,4.319105691056911,194359.75609756098,12805.798861046827,1830129.5301088605
PRU V13 B,PRU 59,45,28,1119,6309221.0,7.46,13,B,PR04,Porites_rus,49.35858,0.346255,94.76626016260164,4264481.707317074,86397.98201887237,12316014.807922121
PRU V13 C,PRU 60,45,28,1016,7360434.5,6.77,13,C,PR04,Porites_rus,42.1915,0.3114,86.04336043360435,3871951.219512196,91770.88322321311,12434011.62335323
PRU V14 A,PRU 57,45,28,486,6762989.0,3.24,14,A,PR07,Porites_rus,41.842,0.21735,41.15853658536586,1852134.1463414638,44264.9525916893,8521436.146038482
PRU V14 B,PRU 56,45,28,1049,6688444.0,6.99,14,B,PR07,Porites_rus,66.37224,0.3321,88.83807588075882,3997713.4146341467,60231.70853709542,12037679.658639405
PRU V14 C,PRU 55,45,28,3,6761825.0,0.02,14,C,PR07,Porites_rus,4.86956,0.00315,0.2540650406504065,11432.926829268294,2347.8357036915645,3629500.580720093
PRU V15 A,PRU 21,45,28,884,6973357.5,5.89,15,A,PR06,Porites_rus,49.88982,0.234515,74.86449864498645,3368902.43902439,67526.85094923955,14365402.805894677
PRU V15 B,PRU 20,45,28,1066,6372955.5,7.11,15,B,PR06,Porites_rus,30.3318,0.2259,90.27777777777779,4062500.0000000005,133935.3417865079,17983621.071270477
PRU V15 C,PRU 19,45,28,814,7039139.5,5.43,15,C,PR06,Porites_rus,24.33904,0.27045,68.93631436314364,3102134.1463414636,127455.07408432968,11470268.612835879
PRU V16 A,PRU 12,45,28,756,7455874.0,5.04,16,A,PR03,Porites_rus,73.03604,0.47866,64.02439024390245,2881097.5609756103,39447.61464306677,6019089.877941776
PRU V16 B,PRU 11,45,28,1101,6102306.0,7.34,16,B,PR03,Porites_rus,55.91986,0.331525,93.2418699186992,4195884.146341464,75033.8814571686,12656312.93670602
PRU V16 C,PRU 10,45,28,427,6465228.0,2.85,16,C,PR03,Porites_rus,37.56412,0.311125,36.1619241192412,1627286.5853658537,43320.237113656694,5230330.527491695
PRU V17 A,PRU 51,45,28,745,6216339.0,4.96,17,A,PR08,Porites_rus,42.53168,0.23276,63.09281842818429,2839176.8292682925,66754.40117268568,12197872.612426072
PRU V17 B,PRU 50,45,28,1021,6102190.0,6.80,17,B,PR08,Porites_rus,54.62904,0.4158,86.46680216802169,3891006.0975609757,71225.9651196685,9357879.02251317
PRU V17 C,PRU 49,45,28,2124,6485886.0,14.16,17,C,PR08,Porites_rus,42.80662,0.36495,179.87804878048783,8094512.195121952,189094.86885724572,22179784.066644616
PRU V18 A,PRU 39,45,28,223,6043510.0,1.49,18,A,PR08,Porites_rus,19.92136,0.08055,18.88550135501355,849847.5609756097,42660.117631306784,10550559.416208686
PRU V18 B,PRU 38,45,28,166,6372942.0,1.11,18,B,PR08,Porites_rus,17.0741,0.1251,14.058265582655828,632621.9512195123,37051.55476537634,5056930.065703535
PRU V18 C,PRU 37,45,28,283,6879833.0,1.89,18,C,PR08,Porites_rus,26.4407,0.1836,23.96680216802168,1078506.0975609757,40789.61969845639,5874216.217652373
PRU V19 A,PRU 48,45,28,179,7491292.0,1.19,19,A,PR08,Porites_rus,35.551,0.172,15.159214092140923,682164.6341463416,19188.338841279896,3966073.4543391955
PRU V19 B,PRU 47,45,28,76,7836278.0,0.51,19,B,PR08,Porites_rus,32.29366,0.2001,6.436314363143632,289634.14634146343,8968.761866616029,1447447.0082032157
PRU V19 C,PRU 46,45,28,146,7093030.0,0.97,19,C,PR08,Porites_rus,44.5914,0.17145,12.364498644986451,556402.4390243903,12477.797042128983,3245275.2349045807
PRU V20 A,PRU 54,45,28,574,7313190.0,3.83,20,A,PR03,Porites_rus,23.22064,0.1188,48.611111111111114,2187500,94204.98315291913,18413299.66329966
PRU V20 B,PRU 53,45,28,467,7349021.5,3.11,20,B,PR03,Porites_rus,21.5943,0.17145,39.549457994579946,1779725.6097560977,82416.4529415678,10380435.16918109
PRU V20 C,PRU 52,45,28,844,7024134.5,5.62,20,C,PR03,Porites_rus,39.50268,0.25155,71.4769647696477,3216463.4146341463,81423.92907605627,12786576.881868998
PAC 056 2,Second_Run_PAC_056,25,30,15155,NA,NA,NA,NA,NA,Pocillopora_acuta,79.96546,0.3565,1283.4518970189704,32086297.42547426,401251.95835144655,90003639.34214379
